Input,PalletType,DecimalBoxNumber,NetBoxNumber,NumberPallet,TotalPalletWeight,NetProductWeight,TotalWeight,Input.1,UnitCost,UnitSelling,TransportCost,TransportSelling,SubTotalSelling,TotalSelling,CostPerKg,SellingPerKg,ProfitPerKg
530,EURO,35.333333333333336,35,0.9814814814814815,47.111111111111114,525,572.1111111111111,525,5250,5512.5,4e3,5600,11112.5,11834.8125,17.61904761904762,22.5425,4.92345238095238
530,STANDARD,35.333333333333336,35,0.7361111111111112,42.69444444444445,525,567.6944444444445,525,5250,5512.5,4e3,5600,11112.5,11834.8125,17.61904761904762,22.5425,4.92345238095238
531,EURO,35.4,35,0.9833333333333333,47.199999999999996,525,572.2,525,5250,5512.5,4e3,5600,11112.5,11834.8125,17.61904761904762,22.5425,4.92345238095238
531,STANDARD,35.4,35,0.7374999999999999,42.775,525,567.775,525,5250,5512.5,4e3,5600,11112.5,11834.8125,17.61904761904762,22.5425,4.92345238095238
532,EURO,35.46666666666667,35,0.9851851851851853,47.28888888888889,525,572.2888888888889,525,5250,5512.5,4e3,5600,11112.5,11834.8125,17.61904761904762,22.5425,4.92345238095238
532,STANDARD,35.46666666666667,35,0.7388888888888889,42.855555555555554,525,567.8555555555556,525,5250,5512.5,4e3,5600,11112.5,11834.8125,17.61904761904762,22.5425,4.92345238095238
533,EURO,35.53333333333333,35,0.9870370370370369,47.37777777777777,525,572.3777777777777,525,5250,5512.5,4e3,5600,11112.5,11834.8125,17.61904761904762,22.5425,4.92345238095238
533,STANDARD,35.53333333333333,35,0.7402777777777777,42.93611111111111,525,567.9361111111111,525,5250,5512.5,4e3,5600,11112.5,11834.8125,17.61904761904762,22.5425,4.92345238095238
534,EURO,35.6,35,0.9888888888888889,47.46666666666667,525,572.4666666666667,525,5250,5512.5,4e3,5600,11112.5,11834.8125,17.61904761904762,22.5425,4.92345238095238
534,STANDARD,35.6,35,0.7416666666666667,43.016666666666666,525,568.0166666666667,525,5250,5512.5,4e3,5600,11112.5,11834.8125,17.61904761904762,22.5425,4.92345238095238
535,EURO,35.666666666666664,35,0.9907407407407407,47.55555555555556,525,572.5555555555555,525,5250,5512.5,4e3,5600,11112.5,11834.8125,17.61904761904762,22.5425,4.92345238095238
